source,title,route_references,status
src/main/nexacro/form/cm/bsis/cmWorkDayResveP.xfdl,작업일 예약 등록,svc::/cm/bsis/modifyWorkDayResvInfo.do | svc::/cm/bsis/registWorkDayResvInfo.do | svc::/cm/bsis/removeWorkDayResvInfo.do | svc::/cm/bsis/searchDefaultDate.do | svc::/cm/bsis/searchWorkDayResvInfo.do | svc::/cm/bsis/searchYearList.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmZipAddrMngF.xfdl,우편번호관리,svc::/cm/bsis/modifyRnMng.do | svc::/cm/bsis/modifyZipAddrMng.do | svc::/cm/bsis/modifyZipRnMapng.do | svc::/cm/bsis/registRnMng.do | svc::/cm/bsis/registZipAddrMng.do | svc::/cm/bsis/registZipRnMapng.do | svc::/cm/bsis/removeRnMng.do | svc::/cm/bsis/removeZipAddrMng.do | svc::/cm/bsis/removeZipRnMapng.do | svc::/cm/bsis/searchRnMngList.do | svc::/cm/bsis/searchZipAddrMngList.do | svc::/cm/bsis/searchZipRnMapngList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmAddrP.xfdl,주소검색,svc::/cm/cmPop/searchCityList.do | svc::/cm/cmPop/searchJibunAddrList.do | svc::/cm/cmPop/searchRegionSignguList.do | svc::/cm/cmPop/searchRnRepresentList.do | svc::/cm/cmPop/searchSeoulSignguList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmAddrRnP.xfdl,주소검색,svc::/cm/cmPop/searchCityList.do | svc::/cm/cmPop/searchRegionSignguList.do | svc::/cm/cmPop/searchRnList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmAlertP.xfdl,공통 경고,,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmArvCdP.xfdl,세입코드 조회,svc::/cm/bsis/searchArvCdPopupList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmBankP.xfdl,은행지점 조회,svc::/cm/bsis/searchBankCdPList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmBbsMainNtcP.xfdl,메인화면_공지사항,svc::/cm/bbs/searchBbsNtcDetail.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmBbsNtcIconP.xfdl,메인상단_공지사항,svc::/cm/bbs/modifyBbsSearchCnt.do | svc::/cm/bbs/searchBbsNtcDetail.do | svc::/cm/bbs/searchBbsNtcPopup.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmBbsQnaHelpP.xfdl,처리 상태 기준 확인,svc::/cm/bbs/searchBbsQnaHelp.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmCdValP.xfdl,입력값코드 조회,svc::/cm/bsis/searchCdValPopUp.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmCmCdP.xfdl,공통코드 조회,svc::/cm/bsis/searchCmCdDtalPop.do | svc::/cm/bsis/searchCmCdPop.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmCmLwrCdP.xfdl,공통코드 조회,svc::/cm/bsis/searchCmCdDtalPop.do | svc::/cm/bsis/searchCmCdLwrPop.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmConfirm2P.xfdl,공통 컨펌,,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmConfirmP.xfdl,공통 컨펌,,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmCrfReportD.xfdl,보고서출력(Divsion),,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmCrfReportFaxP.xfdl,보고서팩스전송,,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmCrfReportP.xfdl,보고서출력,,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmCsCdP.xfdl,수계 및 업태 코드 찾기,svc::/cm/bsis/searchMCdSearch.do | svc::/cm/bsis/searchSCdSearch.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmCsSearchP.xfdl,사용자검색,,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmDataCntrWorkTimeP.xfdl,서초데이터센터작업시간,svc::/cm/usr/modifyStopJob.do | svc::/cm/usr/searchStopJob.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmDeptCdP.xfdl,부서 조회,svc::/cm/cmPop/searchDeptCdSearch.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmDongCdP.xfdl,동코드 조회,svc::/cm/cmPop/searchDongCdList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmEmailSndngP.xfdl,이메일전송,svc::/cm/fileUpload/deleteAtchFileHard.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmExcelPwP.xfdl,엑셀 암호 입력,,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmExcRsnRegP.xfdl,엑셀다운로드 사유 등록,svc::/cm/oper/registExcDwnLogMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmFaxSndngP.xfdl,팩스전송,,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmFileUploadP.xfdl,파일 업로드/다운로드,svc::/cm/fileUpload/deleteFile.do | svc::/cm/fileUpload/fileUploadHistory.do | svc::/cm/fileUpload/fileUploadList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmGisP.xfdl,지도조회,,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmGuCdP.xfdl,구코드 조회,svc::/cm/cmPop/searchGuCdSearch.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmGuDongP.xfdl,"구,동 코드 찾기",svc::/cm/cmPop/searchDongCdSearch.do | svc::/cm/cmPop/searchGuCdSearch.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmGuDongSelfHanamP.xfdl,"구,동 코드 찾기",svc::/cm/cmPop/searchDongCdHanamSearch.do | svc::/cm/cmPop/searchGuCdSearch.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmGuDongSelfP.xfdl,"구,동 코드 찾기",svc::/cm/cmPop/searchDongCdSearch.do | svc::/cm/cmPop/searchGuCdSearch.do,NOT_VERIFIED
