source,import,target,scope
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.cm.bbs.service.BbsUtztnTrmsAgreService,src/main/java/arisuinfo/cm/bbs/service/BbsUtztnTrmsAgreService.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.cm.bbs.vo.BbsUtztnTrmsAgreVO,src/main/java/arisuinfo/cm/bbs/vo/BbsUtztnTrmsAgreVO.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.cm.usr.mapper.UsrMngMapper,src/main/java/arisuinfo/cm/usr/mapper/UsrMngMapper.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.cm.usr.service.UsrRgnService,src/main/java/arisuinfo/cm/usr/service/UsrRgnService.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.cm.usr.vo.UsrMngVO,src/main/java/arisuinfo/cm/usr/vo/UsrMngVO.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.cm.usr.vo.UsrRgnVO,src/main/java/arisuinfo/cm/usr/vo/UsrRgnVO.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.com.enums.RowType,src/main/java/arisuinfo/com/enums/RowType.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.com.exception.BizException,src/main/java/arisuinfo/com/exception/BizException.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.com.util.DateUtil,src/main/java/arisuinfo/com/util/DateUtil.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.com.util.SessionUtil,src/main/java/arisuinfo/com/util/SessionUtil.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.common.ria.nexacro.map.DataSetMap,src/main/java/arisuinfo/common/ria/nexacro/map/DataSetMap.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthAplyServiceImpl.java,arisuinfo.common.ria.nexacro.map.DataSetMapConverter,src/main/java/arisuinfo/common/ria/nexacro/map/DataSetMapConverter.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthChgHstryServiceImpl.java,arisuinfo.cm.auth.auth.mapper.AuthChgHstryMapper,src/main/java/arisuinfo/cm/auth/auth/mapper/AuthChgHstryMapper.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthChgHstryServiceImpl.java,arisuinfo.cm.auth.auth.service.AuthChgHstryService,src/main/java/arisuinfo/cm/auth/auth/service/AuthChgHstryService.java,IN_SCOPE
src/main/java/arisuinfo/cm/auth/auth/service/impl/AuthChgHstryServiceImpl.java,arisuinfo.cm.auth.auth.vo.menu.AuthMenuVO,src/main/java/arisuinfo/cm/auth/auth/vo/menu/AuthMenuVO.java,IN_SCOPE
